,adeop1,adeop2,lysop1,lysop2,adewt1,adewt2,lyswt1,lyswt2,glucose,adenine,lysine
139,42,67,30,109,214,200,162,198,6893.206707525838,9003.028795675655,6383.887039087925
140,42,67,30,109,215,201,163,199,6893.206707525838,9003.028795675655,6383.887039087925
141,43,66,30,110,218,203,163,200,6893.206707525838,9003.028795675655,6383.887039087925
142,43,66,30,111,218,205,163,199,6893.206707525838,9003.028795675655,6383.887039087925
143,43,68,30,111,218,205,165,200,6893.206707525838,9003.028795675655,6383.887039087925
144,43,68,30,111,218,205,167,200,6893.206707525838,9003.028795675655,6383.887039087925
145,43,68,30,112,218,206,167,203,6893.206707525838,9003.028795675655,6383.887039087925
146,43,71,30,112,219,207,169,204,6893.206707525838,9003.028795675655,6383.887039087925
147,43,71,30,112,219,208,169,204,6893.206707525838,9003.028795675655,6383.887039087925
148,43,71,30,113,219,207,169,204,6893.206707525838,9003.028795675655,6383.887039087925
149,44,71,30,113,220,208,170,204,6893.206707525838,9003.028795675655,6383.887039087925
150,44,72,30,114,220,208,171,204,6893.206707525838,9003.028795675655,6383.887039087925
151,44,72,31,114,222,209,172,205,6893.206707525838,9003.028795675655,6383.887039087925
152,44,73,31,114,222,210,173,205,6893.206707525838,9003.028795675655,6383.887039087925
153,44,73,31,114,222,210,173,205,6893.206707525838,9003.028795675655,6383.887039087925
154,44,73,31,114,222,210,173,205,6893.206707525838,9003.028795675655,6383.887039087925
155,44,73,31,113,223,211,173,205,6893.206707525838,9003.028795675655,6383.887039087925
156,45,73,31,113,223,211,173,206,6893.206707525838,9003.028795675655,6383.887039087925
157,45,73,31,113,223,212,173,206,6893.206707525838,9003.028795675655,6383.887039087925
158,45,73,31,113,225,212,172,206,6893.206707525838,9003.028795675655,6383.887039087925
159,45,72,31,113,225,212,173,205,6893.206707525838,9003.028795675655,6383.887039087925
160,45,72,31,114,225,212,173,206,6893.206707525838,9003.028795675655,6383.887039087925
161,45,72,31,115,225,212,173,206,6893.206707525838,9003.028795675655,6383.887039087925
162,45,72,31,116,225,212,173,206,6893.206707525838,9003.028795675655,6383.887039087925
163,45,71,31,116,225,212,173,206,6893.206707525838,9003.028795675655,6383.887039087925
164,45,71,32,116,224,212,172,206,6893.206707525838,9003.028795675655,6383.887039087925
165,45,71,32,116,224,211,172,206,6893.206707525838,9003.028795675655,6383.887039087925
166,45,71,32,116,224,211,174,208,6893.206707525838,9003.028795675655,6383.887039087925
167,45,71,32,116,224,211,174,209,6893.206707525838,9003.028795675655,6383.887039087925
